univ,country,docs,cites,cpp,top_papers,subject,docs_z_world,cites_z_world,cpp_z_world,top_papers_z_world,docs_rsi_cn,cites_rsi_cn,cpp_rsi_cn,top_papers_rsi_cn,strength_score
EAST CHINA NORMAL UNIVERSITY,CHINA MAINLAND,346.0,6513.0,18.82,4.0,AGRICULTURAL SCIENCES,-0.41154270959140776,-0.3900309149165576,-0.09667838585153017,-0.39786589098384373,-0.3285939968404423,-0.18675228712174524,0.24230254350736266,-0.4444444444444444,-0.2517007607803261
EAST CHINA NORMAL UNIVERSITY,CHINA MAINLAND,897.0,20837.0,23.23,18.0,BIOLOGY & BIOCHEMISTRY,-0.18161027382302852,-0.2608991344432698,-0.08444290954260746,-0.10863671338209169,0.04235423542354235,0.218338629142079,0.25510204081632654,0.4444444444444444,0.04058128982942436
EAST CHINA NORMAL UNIVERSITY,CHINA MAINLAND,5420.0,164390.0,30.33,157.0,CHEMISTRY,0.8717852443822401,1.1392394820167449,0.2474422380297491,1.411187794817,2.562820512820513,3.7199338340971337,1.1747572815533978,6.0,2.140895798464597
EAST CHINA NORMAL UNIVERSITY,CHINA MAINLAND,940.0,16875.0,17.95,12.0,CLINICAL MEDICINE,-0.17266324175561418,-0.23789859964571816,-0.32141262625255757,-0.24338336355375256,-0.10117749672917575,-0.006038435118771866,0.03537814565115812,-0.12903225806451613,-0.14702848443361854
EAST CHINA NORMAL UNIVERSITY,CHINA MAINLAND,1803.0,22336.0,12.39,25.0,COMPUTER SCIENCE,0.5296603084238624,0.10174923364455922,-0.08519437439310326,0.258568365697882,1.2054794520547945,0.6224557483503823,-0.49442622950819665,0.6333333333333333,0.34645322970043924
EAST CHINA NORMAL UNIVERSITY,CHINA MAINLAND,2567.0,55450.0,21.6,86.0,ENGINEERING,0.28784178722770665,0.44795751448585125,0.16055012357763682,1.2064200061365196,1.3427726120033812,2.028300951625694,0.8104976141785959,4.0588235294117645,1.2928955173308938
EAST CHINA NORMAL UNIVERSITY,CHINA MAINLAND,2941.0,92088.0,31.31,101.0,ENVIRONMENT ECOLOGY,1.0292133610250336,1.1664861054707427,0.0033001361728986984,1.8754415999239198,2.6384009691096306,3.3084130121254205,0.831168831168831,4.888888888888889,1.967664112985671
EAST CHINA NORMAL UNIVERSITY,CHINA MAINLAND,1850.0,42158.0,22.79,38.0,GEOSCIENCES,0.09475847404852109,0.07485287523005629,-0.16883278426376624,0.07451327732090159,0.5513468013468014,0.7842466345239947,0.5080545229244112,0.7142857142857143,0.32915318942707933
EAST CHINA NORMAL UNIVERSITY,CHINA MAINLAND,2720.0,93969.0,34.55,57.0,MATERIALS SCIENCE,0.254740779958018,0.3421051912429045,0.530614992511916,0.33749573784948705,1.0828944802028477,1.753534581581964,0.7462524832942025,1.7142857142857142,0.8452404951158817
EAST CHINA NORMAL UNIVERSITY,CHINA MAINLAND,2019.0,11984.0,5.94,22.0,MATHEMATICS,0.34039125178439966,0.013626403294069627,-0.05650530582725758,-0.029045943317120678,0.9035087719298246,0.43590145928134316,-0.40909090909090917,0.07894736842105263,0.1597166370594253
EAST CHINA NORMAL UNIVERSITY,CHINA MAINLAND,532.0,20568.0,38.66,6.0,MOLECULAR BIOLOGY & GENETICS,-0.4175175607032627,-0.442751233361149,-0.5426048999955791,-0.4814912640192877,-0.6956097560975609,-0.22530907347859952,0.32690541781450866,-0.3333333333333333,-0.35146396289678294
EAST CHINA NORMAL UNIVERSITY,CHINA MAINLAND,771.0,14295.0,18.54,7.0,NEUROSCIENCE & BEHAVIOR,-0.2905389294793163,-0.39483643301294186,-0.2565044702943554,-0.4203062391030655,-0.42869641294838146,-0.23143524517774458,0.0,-0.3333333333333333,-0.2944563829186423
EAST CHINA NORMAL UNIVERSITY,CHINA MAINLAND,289.0,5693.0,19.7,5.0,PHARMACOLOGY & TOXICOLOGY,-0.563323923869636,-0.536359065249392,-0.07033943597957569,-0.4157906017644872,-0.6815068493150684,-0.43606648713901014,0.5962643678160917,-0.2,-0.2883902494376348
EAST CHINA NORMAL UNIVERSITY,CHINA MAINLAND,3495.0,50802.0,14.54,47.0,PHYSICS,0.07300701007912395,-0.3285660859491112,-0.45283830746398496,-0.2876400790716314,0.1462060456508328,0.10654100933587791,-0.05764125900644684,0.05303030303030303,-0.09348767042437958
EAST CHINA NORMAL UNIVERSITY,CHINA MAINLAND,1375.0,21843.0,15.89,26.0,PLANT & ANIMAL SCIENCE,0.18866880706670255,0.1471361303421736,-0.046398931986618895,0.10191513187586593,0.9020846493998737,0.9569037025865319,0.21525215252152524,0.7222222222222222,0.39847298300353456
EAST CHINA NORMAL UNIVERSITY,CHINA MAINLAND,1460.0,15243.0,10.44,7.0,PSYCHIATRY PSYCHOLOGY,0.134732584189756,-0.23849434856488394,-0.7367284406238895,-0.4118534812766753,0.7629310344827587,0.37190266718636894,-0.31864904552129225,-0.15789473684210525,-0.07425672087124535
EAST CHINA NORMAL UNIVERSITY,CHINA MAINLAND,2176.0,27524.0,12.65,51.0,"SOCIAL SCIENCES, GENERAL",0.5067100898366711,0.39804601767718734,-0.08535771653329952,1.0015348555408776,2.074626865671642,2.0696208576067234,-0.1783696529459239,2.5,1.0358514146067348
